Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_UNO_R3_3d,1,Arduino_UNO_R3,
"C1, C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,100 nF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C7, C8, C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,12,100nF,
"C3, C6",CP_EIA-3216-18_Kemet-A,2,10uF,
"C4, C5",CP_EIA-3216-18_Kemet-A,2,1uF,
"J1, J2, J3, J4","TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",4,Screw_Terminal_01x04,
"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,SolderJumper_2_Open,
"JP10, JP11, JP12, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,SolderJumper_2_Bridged,
"JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,8,SolderJumper_3_Open,
"R1, R2, R3, R4",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4,400 0.1%,
"U1, U2",SOT-23-5,2,SPX3819M5-L-3-3,
"U3, U4, U5, U6",TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm,4,MAX31865xTP,
